ID,Card ID,Spending Category,CB Percentage,Total Max Cap,Category Max Cap,RP1,Spend Conversion,RP2,Threshold 2,RP3,Threshold 3,Category Max Points,Total Max Points,Cash Conversion,Other Conversion,,,,,,,,,,,,,,,,,,,,,,,,
143,56,hdfc_3P,0,0,0,3,100,0,0,0,0,500,1500,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
144,56,hdfc_2P,0,0,0,2,100,0,0,0,0,500,1500,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
145,73,idfc_2RP,0,0,0,2,150,0,0,0,0,400,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
146,73,idfc_15RP,0,0,0,15,150,0,0,0,0,400,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
147,73,idfc_19.5RP,0,0,0,20,150,0,0,0,0,700,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
148,55,hdfc_1RP,0,0,0,1,100,0,0,0,0,1000,1000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
149,55,hdfc_5RP,0,0,0,5,100,0,0,0,0,1000,1000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
150,55,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
151,67,axis_2ER,0,0,0,2,125,0,0,0,0,2147483647,2147483647,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
152,59,idfc_5RP,0,0,0,5,150,10,20001,0,0,100000000,100000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
153,59,idfc_3RP,0,0,0,3,150,0,0,0,0,100000000,100000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
154,59,idfc_1RP,0,0,0,1,150,0,0,0,0,100000000,100000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
155,53,axis_10ER,0,0,0,10,200,20,20000,0,0,10000000,1000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
156,53,axis_20ER,0,0,0,20,200,0,0,0,0,1000000000,2147483647,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
157,63,sbi_2RP,0,0,0,2,100,0,0,0,0,1000000,1000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
158,63,sbi_5RP,0,0,0,5,100,0,0,0,0,1000000,1000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
159,60,idfc_5RP,0,0,0,5,150,10,20001,0,0,100000000,100000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
161,60,idfc_3RP,0,0,0,3,150,0,0,0,0,100000000,100000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
162,60,idfc_1RP,0,0,0,1,150,0,0,0,0,100000000,100000000,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
163,76,icici_5P,5,2147483647,1000000000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
164,76,icici_1P,1,10000000,10000000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
165,76,icici_2P,2,2147483647,1000000000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
166,19,axis_35RP,0,0,200000,60,200,35,0,0,0,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
167,77,HSBC1.5,1.5,234567890,234567890,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
168,77,HSBC10,10,234567890,1000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
169,77,no_benefit,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
170,78,hsbc2RP,0,234567890,234567890,2,150,10,400000,0,0,15000,234567890,1,1,,,,,,,,,,,,,,,,,,,,,,,,
171,39,idfc_3RP_rent,0,0,0,3,150,0,0,0,0,32456789,2147483647,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
172,58,idfc_3RP_rent,0,0,0,3,150,0,0,0,0,34567890,34567890,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
173,59,idfc_3RP_rent,0,0,0,1,150,0,0,0,0,2147483647,2147483647,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
174,71,idfc_3RP_rent,0,0,0,1,150,0,0,0,0,2147483647,34567890,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
175,72,idfc_3RP_rent,0,0,0,1,150,0,0,0,0,34567890,345678890,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,
176,23,hdfc_5RP_rent,0,0,0,5,150,0,0,0,0,2000,234567890,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,
177,46,icici_1P_cap,1,234567890,1000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
